mutator,id,step_num,domain,entropy,watermark_detected,watermark_score
Document1StepMutator,3490672854,-1, Pornography ,high,1,7.229568912920511
Document1StepMutator,3490672854,0, Pornography ,high,1,7.229568912920511
Document1StepMutator,3490672854,19, Pornography ,high,0,7.229568912920511
Document1StepMutator,3490672854,38, Pornography ,high,1,2.393774995725105
Document1StepMutator,3490672854,39, Pornography ,high,1,2.0465595024580763
Document1StepMutator,3490672854,40, Pornography ,high,1,2.3570226039551585
Document1StepMutator,3490672854,41, Pornography ,high,1,1.4444444444444444
Document1StepMutator,3490672854,42, Pornography ,high,1,2.528102914801153
Document1StepMutator,3490672854,59, Pornography ,high,0,0.5163977794943222
Document1StepMutator,3490672854,79, Pornography ,high,0,1.5650160901149996
Document1StepMutator,3490672854,99, Pornography ,high,0,0.7385489458759964
Document1StepMutator,3490672854,119, Pornography ,high,0,0.601929265428846
Document1StepMutator,3490672854,139, Pornography ,high,0,2.528102914801153
Document1StepMutator,3490672854,159, Pornography ,high,0,1.2309149097933272
Document1StepMutator,3490672854,179, Pornography ,high,0,0.1203858530857692
Document1StepMutator,3490672854,199, Pornography ,high,0,0.1203858530857692
Document1StepMutator,3490672854,200, Pornography ,high,0,1.0834726777719228
Document1StepMutator,3096214989,-1,Technology ,high,1,6.929348671835832
Document1StepMutator,3096214989,0,Technology ,high,1,1.0834726777719228
Document1StepMutator,3096214989,1,Technology ,high,1,0.4803844614152613
Document1StepMutator,3096214989,2,Technology ,high,0,-0.1400280084028009
Document1StepMutator,3096214989,3,Technology ,high,1,0.1490711984999859
Document1StepMutator,3096214989,19,Technology ,high,0,0.1490711984999859
Document1StepMutator,3096214989,39,Technology ,high,0,0.1490711984999859
Document1StepMutator,3096214989,49,Technology ,high,0,0.1490711984999859
Document1StepMutator,1717147012,-1,Computer Science ,high,1,6.92820323027551
Document1StepMutator,1717147012,0,Computer Science ,high,1,0.5773502691896258
Document1StepMutator,1717147012,1,Computer Science ,high,1,2.100420126042015
Document1StepMutator,1717147012,2,Computer Science ,high,1,2.100420126042015
Document1StepMutator,1717147012,3,Computer Science ,high,1,1.889822365046136
Document1StepMutator,1717147012,4,Computer Science ,high,1,2.100420126042015
Document1StepMutator,1717147012,19,Computer Science ,high,0,0.4200840252084029
Document1StepMutator,1717147012,59,Computer Science ,high,0,-0.4472135954999579
Document1StepMutator,1717147012,79,Computer Science ,high,0,0.1490711984999859
Document1StepMutator,1717147012,99,Computer Science ,high,0,-0.4472135954999579
Document1StepMutator,1717147012,119,Computer Science ,high,0,0.1490711984999859
Document1StepMutator,1717147012,139,Computer Science ,high,0,-0.4472135954999579
Document1StepMutator,1717147012,159,Computer Science ,high,0,-0.4472135954999579
Document1StepMutator,1717147012,179,Computer Science ,high,0,-0.4472135954999579
Document1StepMutator,1717147012,199,Computer Science ,high,0,-0.4472135954999579
Document1StepMutator,1717147012,200,Computer Science ,high,0,-0.4472135954999579
Document1StepMutator,3350112753,-1,Communication ,high,1,6.92820323027551
Document1StepMutator,3350112753,0,Communication ,high,0,-0.4472135954999579
Document1StepMutator,3350112753,1,Communication ,high,1,0.5773502691896258
Document1StepMutator,3350112753,2,Communication ,high,1,0.5773502691896258
Document1StepMutator,3350112753,3,Communication ,high,1,0.3086066999241838
Document1StepMutator,3350112753,4,Communication ,high,1,0.3086066999241838
Document1StepMutator,3350112753,39,Communication ,high,0,-0.8006407690254357
Document1StepMutator,3350112753,59,Communication ,high,0,-0.8006407690254357
Document1StepMutator,3350112753,79,Communication ,high,0,-0.8006407690254357
Document1StepMutator,3350112753,99,Communication ,high,0,0.4803844614152613
Document1StepMutator,3350112753,119,Communication ,high,0,0.4803844614152613
Document1StepMutator,3350112753,139,Communication ,high,0,0.4803844614152613
Document1StepMutator,3350112753,159,Communication ,high,0,-0.8006407690254357
Document1StepMutator,3350112753,179,Communication ,high,0,0.4803844614152613
Document1StepMutator,3350112753,199,Communication ,high,0,-0.1601281538050871
Document1StepMutator,3350112753,200,Communication ,high,0,-0.1601281538050871
Document1StepMutator,748106145,-1,Language ,mid,1,6.861993625888845
Document1StepMutator,748106145,0,Language ,mid,1,0.0
Document1StepMutator,748106145,2,Language ,mid,0,-0.9271726499455306
Document1StepMutator,748106145,19,Language ,mid,0,-0.816496580927726
Document1StepMutator,748106145,39,Language ,mid,0,-0.816496580927726
Document1StepMutator,748106145,59,Language ,mid,0,0.2721655269759087
Document1StepMutator,748106145,79,Language ,mid,0,1.3608276348795434
Document1StepMutator,748106145,99,Language ,mid,0,-0.816496580927726
Document1StepMutator,748106145,119,Language ,mid,0,0.2721655269759087
Document1StepMutator,748106145,139,Language ,mid,0,-0.816496580927726
Document1StepMutator,748106145,159,Language ,mid,0,0.2721655269759087
Document1StepMutator,748106145,179,Language ,mid,0,-0.2721655269759087
Document1StepMutator,748106145,199,Language ,mid,0,1.3608276348795434
Document1StepMutator,748106145,200,Language ,mid,0,0.816496580927726
Document1StepMutator,2090165219,-1,Entertainment ,high,1,6.48074069840786
Document1StepMutator,2090165219,0,Entertainment ,high,1,1.3608276348795434
Document1StepMutator,2090165219,1,Entertainment ,high,0,-0.6666666666666666
Document1StepMutator,2090165219,2,Entertainment ,high,0,-0.6666666666666666
Document1StepMutator,2090165219,19,Entertainment ,high,0,0.1740776559556978
Document1StepMutator,2090165219,39,Entertainment ,high,0,-0.1601281538050871
Document1StepMutator,2090165219,59,Entertainment ,high,0,-0.1601281538050871
Document1StepMutator,2090165219,79,Entertainment ,high,0,2.7774602993176543
Document1StepMutator,2090165219,99,Entertainment ,high,0,2.1602468994692865
Document1StepMutator,2090165219,119,Entertainment ,high,0,1.543033499620919
Document1StepMutator,2090165219,139,Entertainment ,high,0,-0.3086066999241838
Document1StepMutator,2090165219,159,Entertainment ,high,0,-0.3086066999241838
Document1StepMutator,2090165219,179,Entertainment ,high,0,-0.1601281538050871
Document1StepMutator,2090165219,199,Entertainment ,high,0,-0.6666666666666666
Document1StepMutator,2090165219,200,Entertainment ,high,0,-0.6666666666666666
Document1StepMutator,3122001001,-1,Politics ,high,1,6.350852961085884
Document1StepMutator,3122001001,0,Politics ,high,0,-0.6666666666666666
Document1StepMutator,3122001001,1,Politics ,high,1,0.5773502691896258
Document1StepMutator,3122001001,2,Politics ,high,1,0.4200840252084029
Document1StepMutator,3122001001,4,Politics ,high,0,-0.4472135954999579
Document1StepMutator,3122001001,19,Politics ,high,0,-0.4472135954999579
Document1StepMutator,3122001001,139,Politics ,high,0,-0.4472135954999579
Document1StepMutator,3122001001,159,Politics ,high,0,-0.4472135954999579
Document1StepMutator,3122001001,179,Politics ,high,0,-0.4472135954999579
Document1StepMutator,3122001001,199,Politics ,high,0,-0.9258200997725514
Document1StepMutator,3122001001,200,Politics ,high,0,-0.9258200997725514
Document1StepMutator,3722826231,-1,Mathematics ,low,1,6.244997998398398
Document1StepMutator,3722826231,0,Mathematics ,low,0,-0.3086066999241838
Document1StepMutator,3722826231,1,Mathematics ,low,0,-0.3086066999241838
Document1StepMutator,3722826231,8,Mathematics ,low,1,1.3416407864998738
Document1StepMutator,3722826231,9,Mathematics ,low,1,2.449489742783178
Document1StepMutator,3722826231,10,Mathematics ,low,1,0.2721655269759087
Document1StepMutator,3722826231,19,Mathematics ,low,0,1.3608276348795434
Document1StepMutator,3722826231,39,Mathematics ,low,0,0.2721655269759087
Document1StepMutator,3722826231,59,Mathematics ,low,0,0.0
Document1StepMutator,3722826231,79,Mathematics ,low,0,-0.4472135954999579
Document1StepMutator,3722826231,99,Mathematics ,low,0,-0.3086066999241838
Document1StepMutator,3722826231,119,Mathematics ,low,0,-0.3086066999241838
Document1StepMutator,3722826231,139,Mathematics ,low,0,-0.3086066999241838
Document1StepMutator,3722826231,159,Mathematics ,low,0,-0.9258200997725514
Document1StepMutator,3722826231,179,Mathematics ,low,0,-0.9258200997725514
Document1StepMutator,3722826231,199,Mathematics ,low,0,0.3086066999241838
Document1StepMutator,3722826231,200,Mathematics ,low,0,0.3086066999241838
Document1StepMutator,3598699537,-1,Other ,high,1,6.244997998398398
Document1StepMutator,3598699537,0,Other ,high,1,0.1740776559556978
Document1StepMutator,3598699537,1,Other ,high,1,3.394673699166022
Document1StepMutator,3598699537,2,Other ,high,1,4.011887099014389
Document1StepMutator,3598699537,3,Other ,high,1,2.7774602993176543
Document1StepMutator,3598699537,4,Other ,high,1,2.1602468994692865
Document1StepMutator,3598699537,19,Other ,high,0,-0.1601281538050871
Document1StepMutator,3598699537,39,Other ,high,0,1.12089707663561
Document1StepMutator,3598699537,59,Other ,high,0,3.042434922296656
Document1StepMutator,3598699537,79,Other ,high,0,2.401922307076307
Document1StepMutator,3598699537,99,Other ,high,0,2.401922307076307
Document1StepMutator,3598699537,119,Other ,high,0,1.7614096918559583
Document1StepMutator,3598699537,139,Other ,high,0,1.12089707663561
Document1StepMutator,3598699537,159,Other ,high,0,1.7614096918559583
Document1StepMutator,3598699537,179,Other ,high,0,1.7614096918559583
Document1StepMutator,3598699537,199,Other ,high,0,2.401922307076307
Document1StepMutator,3598699537,200,Other ,high,0,2.401922307076307
Document1StepMutator,2740954635,-1,Physics ,low,1,6.154574548966636
Document1StepMutator,2740954635,0,Physics ,low,1,2.401922307076307
Document1StepMutator,2740954635,8,Physics ,low,0,-0.3086066999241838
Document1StepMutator,2740954635,12,Physics ,low,1,0.9258200997725514
Document1StepMutator,2740954635,13,Physics ,low,1,0.0
Document1StepMutator,2740954635,14,Physics ,low,0,-0.3086066999241838
Document1StepMutator,2740954635,19,Physics ,low,0,0.3086066999241838
Document1StepMutator,2740954635,59,Physics ,low,0,-0.9258200997725514
Document1StepMutator,2740954635,79,Physics ,low,0,-0.3086066999241838
Document1StepMutator,2740954635,99,Physics ,low,0,-0.3086066999241838
Document1StepMutator,2740954635,119,Physics ,low,0,-0.9258200997725514
Document1StepMutator,2740954635,125,Physics ,low,0,-0.9258200997725514
Document1StepMutator,3360788275,-1,Gaming ,mid,1,5.863527298559492
Document1StepMutator,3360788275,0,Gaming ,mid,0,-0.3086066999241838
Document1StepMutator,3360788275,19,Gaming ,mid,0,-0.3086066999241838
Document1StepMutator,3360788275,65,Gaming ,mid,1,0.7453559924999299
Document1StepMutator,3360788275,69,Gaming ,mid,1,0.1490711984999859
Document1StepMutator,3360788275,79,Gaming ,mid,1,2.5342103744997617
Document1StepMutator,3360788275,99,Gaming ,mid,0,2.5342103744997617
Document1StepMutator,3360788275,119,Gaming ,mid,0,2.5342103744997617
Document1StepMutator,3360788275,128,Gaming ,mid,0,2.5342103744997617
Document1StepMutator,2076943578,-1,Pets ,mid,1,5.863527298559492
Document1StepMutator,2076943578,0,Pets ,mid,1,0.7453559924999299
Document1StepMutator,2076943578,1,Pets ,mid,1,4.900980294098034
Document1StepMutator,2076943578,8,Pets ,mid,1,3.5381518506868126
Document1StepMutator,2076943578,19,Pets ,mid,0,3.5381518506868126
Document1StepMutator,2076943578,39,Pets ,mid,1,4.618802153517007
Document1StepMutator,2076943578,42,Pets ,mid,1,5.773502691896258
Document1StepMutator,2076943578,59,Pets ,mid,0,2.886751345948129
Document1StepMutator,2076943578,79,Pets ,mid,0,1.7320508075688774
Document1StepMutator,2076943578,99,Pets ,mid,0,4.618802153517007
Document1StepMutator,2076943578,119,Pets ,mid,0,1.1547005383792517
Document1StepMutator,2076943578,139,Pets ,mid,0,1.7320508075688774
Document1StepMutator,2076943578,159,Pets ,mid,0,2.309401076758504
Document1StepMutator,2076943578,179,Pets ,mid,0,2.886751345948129
Document1StepMutator,2076943578,199,Pets ,mid,0,4.041451884327381
Document1StepMutator,2076943578,200,Pets ,mid,0,4.041451884327381
Document1StepMutator,514298844,-1,Math ,low,1,5.744562646538029
Document1StepMutator,514298844,0,Math ,low,1,3.464101615137755
Document1StepMutator,514298844,1,Math ,low,0,-0.9622504486493764
Document1StepMutator,514298844,2,Math ,low,0,-0.2581988897471611
Document1StepMutator,514298844,3,Math ,low,0,-0.9622504486493764
Document1StepMutator,514298844,4,Math ,low,1,1.095445115010332
Document1StepMutator,514298844,19,Math ,low,0,1.12089707663561
Document1StepMutator,514298844,39,Math ,low,0,1.12089707663561
Document1StepMutator,514298844,59,Math ,low,0,1.7614096918559583
Document1StepMutator,514298844,79,Math ,low,0,1.5666989036012806
Document1StepMutator,514298844,99,Math ,low,0,1.5666989036012806
Document1StepMutator,514298844,119,Math ,low,0,0.8703882797784892
Document1StepMutator,514298844,139,Math ,low,0,1.8257418583505536
Document1StepMutator,514298844,159,Math ,low,0,0.8703882797784892
Document1StepMutator,514298844,179,Math ,low,0,0.1740776559556978
Document1StepMutator,514298844,199,Math ,low,0,-0.5222329678670935
Document1StepMutator,514298844,200,Math ,low,0,0.1740776559556978
Document1StepMutator,2467656814,-1,Cybersecurity ,high,1,5.60448538317805
Document1StepMutator,2467656814,0,Cybersecurity ,high,1,0.1740776559556978
Document1StepMutator,2467656814,1,Cybersecurity ,high,1,1.7614096918559583
