trace,mutator_type,similarity_metric,threshold,num_nodes,num_edges,num_groups,graph_file
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,levenshtein,0.5,1000,21664,29,./distinguisher/graphs/graphml/DocumentMutator1step_levenshtein_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,levenshtein,0.75,1000,9188,29,./distinguisher/graphs/graphml/DocumentMutator1step_levenshtein_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,levenshtein,0.9,1000,642,29,./distinguisher/graphs/graphml/DocumentMutator1step_levenshtein_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,levenshtein,0.95,1000,33,29,./distinguisher/graphs/graphml/DocumentMutator1step_levenshtein_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,sbert,0.5,1000,422312,29,./distinguisher/graphs/graphml/DocumentMutator1step_sbert_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,sbert,0.75,1000,314267,29,./distinguisher/graphs/graphml/DocumentMutator1step_sbert_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,sbert,0.9,1000,25006,29,./distinguisher/graphs/graphml/DocumentMutator1step_sbert_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,sbert,0.95,1000,15171,29,./distinguisher/graphs/graphml/DocumentMutator1step_sbert_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,tfidf,0.5,1000,15997,29,./distinguisher/graphs/graphml/DocumentMutator1step_tfidf_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,tfidf,0.75,1000,3507,29,./distinguisher/graphs/graphml/DocumentMutator1step_tfidf_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,tfidf,0.9,1000,93,29,./distinguisher/graphs/graphml/DocumentMutator1step_tfidf_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_DocumentMutator1step_compare-original=True_attack_results.csv,DocumentMutator1step,tfidf,0.95,1000,6,29,./distinguisher/graphs/graphml/DocumentMutator1step_tfidf_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,levenshtein,0.5,1000,20421,30,./distinguisher/graphs/graphml/SentenceMutator_levenshtein_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,levenshtein,0.75,1000,13428,30,./distinguisher/graphs/graphml/SentenceMutator_levenshtein_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,levenshtein,0.9,1000,3922,30,./distinguisher/graphs/graphml/SentenceMutator_levenshtein_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,levenshtein,0.95,1000,946,30,./distinguisher/graphs/graphml/SentenceMutator_levenshtein_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,sbert,0.5,1000,421827,30,./distinguisher/graphs/graphml/SentenceMutator_sbert_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,sbert,0.75,1000,359914,30,./distinguisher/graphs/graphml/SentenceMutator_sbert_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,sbert,0.9,1000,45767,30,./distinguisher/graphs/graphml/SentenceMutator_sbert_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,sbert,0.95,1000,21546,30,./distinguisher/graphs/graphml/SentenceMutator_sbert_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,tfidf,0.5,1000,17394,30,./distinguisher/graphs/graphml/SentenceMutator_tfidf_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,tfidf,0.75,1000,7873,30,./distinguisher/graphs/graphml/SentenceMutator_tfidf_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,tfidf,0.9,1000,1523,30,./distinguisher/graphs/graphml/SentenceMutator_tfidf_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_SentenceMutator_compare-original=True_attack_results.csv,SentenceMutator,tfidf,0.95,1000,424,30,./distinguisher/graphs/graphml/SentenceMutator_tfidf_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,levenshtein,0.5,1000,25124,30,./distinguisher/graphs/graphml/SpanMutator_levenshtein_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,levenshtein,0.75,1000,20255,30,./distinguisher/graphs/graphml/SpanMutator_levenshtein_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,levenshtein,0.9,1000,9348,30,./distinguisher/graphs/graphml/SpanMutator_levenshtein_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,levenshtein,0.95,1000,3566,30,./distinguisher/graphs/graphml/SpanMutator_levenshtein_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,sbert,0.5,1000,435616,30,./distinguisher/graphs/graphml/SpanMutator_sbert_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,sbert,0.75,1000,394674,30,./distinguisher/graphs/graphml/SpanMutator_sbert_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,sbert,0.9,1000,62328,30,./distinguisher/graphs/graphml/SpanMutator_sbert_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,sbert,0.95,1000,24842,30,./distinguisher/graphs/graphml/SpanMutator_sbert_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,tfidf,0.5,1000,24400,30,./distinguisher/graphs/graphml/SpanMutator_tfidf_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,tfidf,0.75,1000,16865,30,./distinguisher/graphs/graphml/SpanMutator_tfidf_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,tfidf,0.9,1000,6608,30,./distinguisher/graphs/graphml/SpanMutator_tfidf_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_SpanMutator_compare-original=True_attack_results.csv,SpanMutator,tfidf,0.95,1000,2252,30,./distinguisher/graphs/graphml/SpanMutator_tfidf_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,levenshtein,0.5,1000,17230,30,./distinguisher/graphs/graphml/WordMutator_levenshtein_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,levenshtein,0.75,1000,14022,30,./distinguisher/graphs/graphml/WordMutator_levenshtein_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,levenshtein,0.9,1000,5353,30,./distinguisher/graphs/graphml/WordMutator_levenshtein_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,levenshtein,0.95,1000,2539,30,./distinguisher/graphs/graphml/WordMutator_levenshtein_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,sbert,0.5,1000,453414,30,./distinguisher/graphs/graphml/WordMutator_sbert_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,sbert,0.75,1000,392016,30,./distinguisher/graphs/graphml/WordMutator_sbert_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,sbert,0.9,1000,69566,30,./distinguisher/graphs/graphml/WordMutator_sbert_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,sbert,0.95,1000,16501,30,./distinguisher/graphs/graphml/WordMutator_sbert_@_0.95.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,tfidf,0.5,1000,16182,30,./distinguisher/graphs/graphml/WordMutator_tfidf_@_0.5.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,tfidf,0.75,1000,8466,30,./distinguisher/graphs/graphml/WordMutator_tfidf_@_0.75.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,tfidf,0.9,1000,3340,30,./distinguisher/graphs/graphml/WordMutator_tfidf_@_0.9.graphml
./distinguisher/attack_traces/DiffOracle_str_WordMutator_compare-original=True_attack_results.csv,WordMutator,tfidf,0.95,1000,1644,30,./distinguisher/graphs/graphml/WordMutator_tfidf_@_0.95.graphml
