P,Num,Origin,simple_4_A_normal,simple_4_B_normal,simple_4_A_flipped,simple_4_B_flipped,simple_4_A_count,simple_4_B_count,simple_4_choice,simple_4_flipped_choice
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I get for you?"" As Evan ordered his coffee, their conversation flowed effortlessly, and before he knew it, he was chatting with Emilie like they were old friends. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. As the days went by, Evan realized he'd fallen deeply for this captivating French beauty. As they said their goodbyes on his final night in Paris, Emilie leaned in and whispered, ""à bientôt, perhaps?""",0,A,1.0,0.0,0.8,0.2,0.9,0.1,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. He had been in Paris for three days and was determined to soak up every ounce of its romance. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. Inside, the aroma of freshly brewed coffee enveloped him, and he made a beeline for the counter. That's when he saw her – Emilie, with her bright smile and sparkling green eyes. She greeted him with a warm ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. The hours melted away, and Evan felt an undeniable connection to this enchanting stranger. As he bid farewell, Emilie scribbled down her phone number on a napkin, whispering ""À bientôt"" (see you soon).",0,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I get for you?"" As Evan ordered his coffee, their conversation flowed effortlessly, and before he knew it, he was chatting with Emilie like they were old friends. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. As time passed, Evan found himself hopelessly smitten with this enchanting French woman. As they said their goodbyes on his final night in Paris, Emilie leaned in and whispered, ""à bientôt, perhaps?""",1,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. Having spent three days in the City of Light, he was resolute in his pursuit of every romantic nuance it had to offer. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. Inside, the aroma of freshly brewed coffee enveloped him, and he made a beeline for the counter. That's when he saw her – Emilie, with her bright smile and sparkling green eyes. She greeted him with a warm ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. The hours melted away, and Evan felt an undeniable connection to this enchanting stranger. As he bid farewell, Emilie scribbled down her phone number on a napkin, whispering ""À bientôt"" (see you soon).",1,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he waited in line, his gaze drifted to the barista with piercing green eyes and curly brown hair. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I get for you?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. As time passed, Evan found himself hopelessly smitten with this enchanting French woman. As they said their goodbyes on his final night in Paris, Emilie leaned in and whispered, ""à bientôt, perhaps?""",2,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. Having spent three days in the City of Light, he was resolute in his pursuit of every romantic nuance it had to offer. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. Inside, the aroma of freshly brewed coffee enveloped him, and he made a beeline for the counter. That's when he saw her – Emilie, with her bright smile and sparkling green eyes. She greeted him with a warm ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. The hours melted away, and Evan felt an undeniable connection to this enchanting stranger. As he said goodbye, Emilie hastily jotted down her phone number on a napkin, her parting words a soft ""À bientôt"" (see you soon).",2,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I get for you?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. As time passed, Evan found himself hopelessly smitten with this enchanting French woman. As they said their goodbyes on his final night in Paris, Emilie leaned in and whispered, ""à bientôt, perhaps?""",3,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. Having spent three days in the City of Light, he was resolute in his pursuit of every romantic nuance it had to offer. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. That's when he saw her – Emilie, with her bright smile and sparkling green eyes. She greeted him with a warm ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. The hours melted away, and Evan felt an undeniable connection to this enchanting stranger. As he said goodbye, Emilie hastily jotted down her phone number on a napkin, her parting words a soft ""À bientôt"" (see you soon).",3,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. How can I assist you today?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. As time passed, Evan found himself hopelessly smitten with this enchanting French woman. As they said their goodbyes on his final night in Paris, Emilie leaned in and whispered, ""à bientôt, perhaps?""",4,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. Having spent three days in the City of Light, he was resolute in his pursuit of every romantic nuance it had to offer. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She greeted him with a warm ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. The hours melted away, and Evan felt an undeniable connection to this enchanting stranger. As he said goodbye, Emilie hastily jotted down her phone number on a napkin, her parting words a soft ""À bientôt"" (see you soon).",4,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
