,path,watermark_scores_mean,watermark_scores_std,perplexity_mean,perplexity_std,grammar_errors_mean,grammar_errors_std,early_grammar_errors_mean,early_grammar_errors_std,skywork27B_quality_mean,skywork27B_quality_std,internlm_quality_mean,internlm_quality_std
0,./data/WQE_adaptive_neo_delta1.5_alpha4/dev.csv,99.66153432925542,0.7101993461572147,37.31090267499288,25.848095984094186,13.216666666666667,24.047334442414,2.4,3.1900268316176716,-6.226302083333334,1.90813867707763,0.5368626912434896,1.057077036238321
3,./data/WQE_adaptive_neo_delta0.5_nosecret/dev.csv,98.13552280267079,1.582534850668941,32.54512758255005,15.70120336380894,14.633333333333333,26.94247900882996,1.65,3.21450631473289,-6.506640625,2.6721331682346583,0.637750244140625,1.033515364874466
4,./data/WQE_adaptive_neo_delta1.5_alpha3/dev.csv,99.76851000624188,0.3984902395788559,45.669198909048305,30.59950089385506,11.932203389830509,18.086825465133323,2.5762711864406778,2.7177792013441624,-6.407309322033898,2.6744525031234567,0.5621142629849709,0.8905231139497041
5,./data/WQE_adaptive_neo_delta0.5/dev.csv,99.84913670099698,0.3116021714627984,44.26808260404147,24.366708951692637,12.523076923076923,20.525354101739364,2.4615384615384617,2.372823674113128,-6.176622596153846,1.9852709477484605,0.3530795904306265,1.0751211292274814
6,./data/WQE_adaptive_delta0.50_alpha3.0_nosecret/dev.csv,98.10827576507957,1.6631384658682105,32.72680015887244,25.273356361533036,10.372881355932204,21.474040707637375,1.9322033898305084,3.6429639636809426,,,0.9086484747417902,0.979311782442111
7,./data/WQE_adaptive_delta1.00_alpha3.0_nosecret/dev.csv,99.89266621655432,0.2952348710554026,39.492976122889026,18.681064843353408,9.206896551724139,15.739946522000208,2.0689655172413794,2.1509856489404977,,,0.4757282651703933,1.075087679461914
11,./data/WQE_adaptive_delta0.25_alpha4.0_nosecret/dev.csv,89.7172533472379,6.49215930715605,,,,,,,,,1.1976524353027345,0.7749255376621531
13,./data/WQE_adaptive_neo/dev.csv,99.79531801108158,0.6411911178466257,39.72695777994214,23.614622213630785,17.606060606060606,26.209594879586064,2.3484848484848486,2.220600456876846,-6.477391098484849,2.2487500125920943,0.15772594105113635,1.0895911872288122
14,./data/WQE_adaptive_neo_delta1.0/dev.csv,99.7939592017267,0.39753176198523277,45.541108461250936,22.936410058708255,15.571428571428571,28.450724471333288,2.293233082706767,2.3861403946833613,-6.611959586466165,2.3934450437002464,0.2513262777400196,1.1339139675072494
16,./data/WQE_adaptive_delta0.25_alpha4/dev.csv,96.89996848503749,2.161103917756625,39.17749630610148,29.12265766315176,11.65,21.08242500443904,2.0833333333333335,2.257129320256502,,,0.6237244923909505,1.0332345215598737
